scoring,cv_cycle,AdaBoostClassifier,ExtraTreesClassifier,KNeighborsClassifier,LogisticRegression,SVC
accuracy,median,0.833,0.833,0.75,0.667,0.833
accuracy,std,0.118,0.11,0.1,0.135,0.11
average_precision,1,0.764520202020202,0.7402777777777777,0.8617424242424242,0.6398508898508899,0.9166666666666665
average_precision,2,0.8284090909090909,0.9333333333333333,0.9055555555555556,0.8773809523809524,0.9305555555555556
average_precision,3,0.9305555555555556,0.976190476190476,0.9444444444444443,0.7662698412698411,1.0
average_precision,4,0.9583333333333333,0.8972222222222221,0.919047619047619,0.7884920634920635,0.9583333333333333
average_precision,5,0.9055555555555554,1.0,0.8499999999999999,0.9583333333333333,1.0
average_precision,6,0.8972222222222221,0.8432900432900432,0.848611111111111,0.7884920634920635,0.9055555555555554
average_precision,7,1.0,1.0,0.8168350168350168,0.85515873015873,0.976190476190476
average_precision,8,0.9242424242424242,0.976190476190476,1.0,0.8833333333333333,1.0
average_precision,9,0.9150793650793649,0.9583333333333333,0.8492063492063492,0.7994047619047618,0.9444444444444444
average_precision,10,0.9166666666666666,0.9583333333333333,0.8722222222222222,0.8634920634920633,0.9583333333333333
average_precision,11,0.9305555555555556,0.9583333333333333,0.8857142857142857,0.9107142857142856,0.9583333333333333
average_precision,12,0.5494047619047618,0.810515873015873,0.8888888888888888,0.9166666666666665,0.8819444444444444
average_precision,13,1.0,0.9484126984126984,0.727946127946128,0.7092592592592593,1.0
average_precision,14,0.5868686868686869,0.9055555555555554,0.8083333333333333,0.5992063492063492,0.9444444444444444
average_precision,15,1.0,0.976190476190476,0.9305555555555556,0.9166666666666666,0.976190476190476
average_precision,16,0.794047619047619,0.8218253968253967,0.7250000000000001,0.6835016835016835,0.7958333333333333
average_precision,17,0.9166666666666665,0.8708333333333333,0.9444444444444444,0.8964646464646464,0.9166666666666665
average_precision,18,0.8305555555555555,0.8833333333333333,1.0,0.8766233766233766,1.0
average_precision,19,0.8501683501683501,0.9305555555555556,0.9166666666666666,0.8690476190476191,0.9305555555555556
average_precision,20,0.7345238095238095,0.976190476190476,0.8297979797979798,0.8134920634920634,0.9583333333333333
average_precision,21,0.8432900432900432,0.9444444444444444,0.8061868686868687,0.7777777777777778,0.8592592592592592
average_precision,22,0.9055555555555554,0.8263888888888888,0.9166666666666667,0.7597222222222221,1.0
average_precision,23,0.8592592592592592,0.9484126984126984,1.0,0.8631313131313131,1.0
average_precision,24,0.8134920634920635,0.9055555555555554,0.888888888888889,0.8734126984126983,0.9583333333333333
average_precision,25,1.0,0.9583333333333334,0.8152777777777778,0.7370370370370369,0.9583333333333333
average_precision,mean,0.866,0.918,0.878,0.817,0.949
average_precision,median,0.906,0.944,0.886,0.855,0.958
average_precision,std,0.113,0.065,0.072,0.09,0.049
f1,1,0.4444444444444444,0.6,0.5,0.5,0.7272727272727273
f1,2,0.6153846153846154,0.9090909090909091,0.8,0.6,0.7272727272727273
f1,3,0.8333333333333334,0.9090909090909091,0.9090909090909091,0.6666666666666666,0.8
f1,4,0.7692307692307693,0.8333333333333334,0.6666666666666666,0.7692307692307693,0.7692307692307693
f1,5,0.8,1.0,0.5,0.8333333333333334,1.0
f1,6,0.8333333333333334,0.7272727272727273,0.6666666666666666,0.8571428571428571,0.7692307692307693
f1,7,1.0,1.0,0.6,0.5454545454545454,0.8333333333333334
f1,8,0.8333333333333334,0.9230769230769231,1.0,0.8333333333333334,1.0
f1,9,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.5454545454545454,0.9090909090909091
f1,10,0.8,0.9090909090909091,0.7272727272727273,0.7692307692307693,0.9090909090909091
f1,11,0.8333333333333334,0.7692307692307693,0.6666666666666666,0.7692307692307693,0.7692307692307693
f1,12,0.7142857142857143,0.6153846153846154,0.8,0.7272727272727273,0.6153846153846154
f1,13,0.9090909090909091,0.8,0.2857142857142857,0.5454545454545454,0.8
f1,14,0.4444444444444444,0.8333333333333334,0.6666666666666666,0.3333333333333333,0.9090909090909091
f1,15,0.9090909090909091,0.9090909090909091,0.6666666666666666,0.8333333333333334,0.8333333333333334
f1,16,0.6,0.6666666666666666,0.5,0.5,0.6153846153846154
f1,17,0.8,0.8,0.6666666666666666,0.7272727272727273,0.8333333333333334
f1,18,0.7692307692307693,0.7142857142857143,1.0,0.6666666666666666,0.9230769230769231
f1,19,0.8,0.8,0.8,0.7272727272727273,0.8
f1,20,0.9230769230769231,0.8333333333333334,0.5,0.6666666666666666,0.8333333333333334
f1,21,0.7692307692307693,0.7142857142857143,0.6666666666666666,0.5454545454545454,0.6666666666666666
f1,22,0.7142857142857143,0.6666666666666666,0.8,0.5454545454545454,1.0
f1,23,0.8,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8
f1,24,0.5454545454545454,0.6666666666666666,0.8,0.9230769230769231,0.9090909090909091
f1,25,0.9230769230769231,0.8571428571428571,0.5,0.5714285714285714,0.8333333333333334
f1,mean,0.762,0.798,0.681,0.667,0.823
f1,median,0.8,0.8,0.667,0.667,0.833
f1,std,0.14,0.113,0.162,0.139,0.105
neg_brier_score,1,-0.21700394018273414,-0.2116416666666667,-0.20687500000000003,-0.36456851598076234,-0.1468826289080343
neg_brier_score,2,-0.21536889150017388,-0.17298333333333335,-0.1804166666666667,-0.20310637258733277,-0.1184610359447557
neg_brier_score,3,-0.15313211099309723,-0.15,-0.15979166666666664,-0.21132332956532485,-0.07738131514230276
neg_brier_score,4,-0.1438727903575941,-0.1497,-0.17333333333333334,-0.21731221556490055,-0.11706834754080823
neg_brier_score,5,-0.1635810857823433,-0.12298333333333333,-0.19541666666666668,-0.1205803563005573,-0.07268424300902752
neg_brier_score,6,-0.16416814010709588,-0.193025,-0.18750000000000003,-0.17481265011457503,-0.15169450470874074
neg_brier_score,7,-0.11817880092576831,-0.14419166666666666,-0.20625000000000004,-0.22846549706102381,-0.1127567830479595
neg_brier_score,8,-0.1466066875309028,-0.14356666666666665,-0.16187500000000002,-0.16836220712126718,-0.05254757129162471
neg_brier_score,9,-0.16217967753116544,-0.14500833333333338,-0.19729166666666667,-0.2988882097123163,-0.10853236666504912
neg_brier_score,10,-0.11858169651280968,-0.1546916666666667,-0.18583333333333338,-0.15919453530955255,-0.12427215873436205
neg_brier_score,11,-0.13556928168917118,-0.13947500000000002,-0.19020833333333334,-0.20489281636758816,-0.10793595521458847
neg_brier_score,12,-0.24371587255370195,-0.196825,-0.1704166666666667,-0.14285843997440315,-0.1845718635872148
neg_brier_score,13,-0.14184461452079103,-0.15667500000000004,-0.22791666666666668,-0.3266989055625055,-0.10430639105746399
neg_brier_score,14,-0.30384424851175335,-0.17327499999999998,-0.20333333333333337,-0.46165181902892255,-0.11784658138451748
neg_brier_score,15,-0.1242096557194133,-0.14230833333333334,-0.18604166666666666,-0.13483569664465103,-0.09717558043027441
neg_brier_score,16,-0.2253139024440237,-0.19399166666666667,-0.2177083333333333,-0.45404317532171695,-0.2411532359331138
neg_brier_score,17,-0.1814515618701116,-0.20095,-0.18604166666666666,-0.15362099727615802,-0.13773756182351668
neg_brier_score,18,-0.19501925530950348,-0.1798916666666667,-0.16458333333333336,-0.27393760880347656,-0.09503254656590117
neg_brier_score,19,-0.1545718281940372,-0.126975,-0.18729166666666666,-0.19876728755838494,-0.12331223388674727
neg_brier_score,20,-0.18488798675690213,-0.16325000000000003,-0.199375,-0.24824255711981133,-0.09248380866114429
neg_brier_score,21,-0.18818208076418239,-0.16969166666666669,-0.20145833333333338,-0.34094266599298745,-0.1660387629864841
neg_brier_score,22,-0.1699534984932216,-0.20414166666666664,-0.20375000000000001,-0.274421867832324,-0.04639940544258769
neg_brier_score,23,-0.2000120645819126,-0.17503333333333335,-0.1708333333333333,-0.2174756041000182,-0.14080112782439486
neg_brier_score,24,-0.2231550176324761,-0.17434166666666664,-0.17729166666666665,-0.10262444825561969,-0.0756383795003959
neg_brier_score,25,-0.12075597043166286,-0.14283333333333334,-0.1935416666666667,-0.3324840476063789,-0.12057696485163055
neg_brier_score,mean,-0.176,-0.165,-0.189,-0.241,-0.117
neg_brier_score,median,-0.164,-0.163,-0.188,-0.217,-0.117
neg_brier_score,std,0.044,0.024,0.017,0.095,0.041
neg_log_loss,1,-0.6161281998749006,-0.6091397449999058,-0.6040129278005685,-1.6945434018900853,-0.42800439860703393
