DummyRegressor,KNeighborsRegressor,SVR,ElasticNetCV,LinearRegression,Ridge,RandomForestRegressor,XGBRegressor,AdaBoostRegressor,ExtraTreesRegressor,CatBoostRegressor,GradientBoostingRegressor,MLPRegressor,CatBoostRegressor_opt
0.0,-1.9978697940487646,-2.038582634139521,-2.258245784184581,-2.262325840221143,-2.2892852332345597,-2.583300245762576,-2.654154151013587,-2.7208152564682875,-2.8094360600426507,-2.8593922432319303,-2.8895519371196103,-2.9172452947279552,-2.979471365917683
1.9978697940487646,0.0,-0.04071284009075615,-0.26037599013581625,-0.2644560461723784,-0.29141543918579504,-0.5854304517138114,-0.6562843569648225,-0.7229454624195226,-0.8115662659938858,-0.8615224491831657,-0.8916821430708457,-0.9193755006791908,-0.9816015718689186
2.038582634139521,0.04071284009075615,0.0,-0.2196631500450601,-0.22374320608162224,-0.2507025990950389,-0.5447176116230552,-0.6155715168740663,-0.6822326223287665,-0.7708534259031297,-0.8208096090924095,-0.8509693029800895,-0.8786626605884347,-0.9408887317781625
2.258245784184581,0.26037599013581625,0.2196631500450601,0.0,-0.004080056036562141,-0.031039449049978796,-0.3250544615779951,-0.3959083668290062,-0.4625694722837064,-0.5511902758580696,-0.6011464590473494,-0.6313061529350295,-0.6589995105433746,-0.7212255817331024
2.262325840221143,0.2644560461723784,0.22374320608162224,0.004080056036562141,0.0,-0.026959393013416655,-0.32097440554143297,-0.39182831079244407,-0.45848941624714423,-0.5471102198215074,-0.5970664030107873,-0.6272260968984673,-0.6549194545068124,-0.7171455256965402
2.2892852332345597,0.29141543918579504,0.2507025990950389,0.031039449049978796,0.026959393013416655,0.0,-0.2940150125280163,-0.3648689177790274,-0.4315300232337276,-0.5201508268080908,-0.5701070099973706,-0.6002667038850507,-0.6279600614933958,-0.6901861326831236
2.583300245762576,0.5854304517138114,0.5447176116230552,0.3250544615779951,0.32097440554143297,0.2940150125280163,0.0,-0.0708539052510111,-0.13751501070571126,-0.22613581428007445,-0.2760919974693543,-0.30625169135703434,-0.33394504896537947,-0.39617112015510725
2.654154151013587,0.6562843569648225,0.6155715168740663,0.3959083668290062,0.39182831079244407,0.3648689177790274,0.0708539052510111,0.0,-0.06666110545470016,-0.15528190902906336,-0.20523809221834322,-0.23539778610602324,-0.26309114371436837,-0.32531721490409615
2.7208152564682875,0.7229454624195226,0.6822326223287665,0.4625694722837064,0.45848941624714423,0.4315300232337276,0.13751501070571126,0.06666110545470016,0.0,-0.0886208035743632,-0.13857698676364305,-0.16873668065132308,-0.1964300382596682,-0.258656109449396
2.8094360600426507,0.8115662659938858,0.7708534259031297,0.5511902758580696,0.5471102198215074,0.5201508268080908,0.22613581428007445,0.15528190902906336,0.0886208035743632,0.0,-0.04995618318927986,-0.08011587707695988,-0.10780923468530501,-0.1700353058750328
2.8593922432319303,0.8615224491831657,0.8208096090924095,0.6011464590473494,0.5970664030107873,0.5701070099973706,0.2760919974693543,0.20523809221834322,0.13857698676364305,0.04995618318927986,0.0,-0.030159693887680028,-0.057853051496025154,-0.12007912268575294
2.8895519371196103,0.8916821430708457,0.8509693029800895,0.6313061529350295,0.6272260968984673,0.6002667038850507,0.30625169135703434,0.23539778610602324,0.16873668065132308,0.08011587707695988,0.030159693887680028,0.0,-0.027693357608345126,-0.08991942879807291
2.9172452947279552,0.9193755006791908,0.8786626605884347,0.6589995105433746,0.6549194545068124,0.6279600614933958,0.33394504896537947,0.26309114371436837,0.1964300382596682,0.10780923468530501,0.057853051496025154,0.027693357608345126,0.0,-0.06222607118972778
2.979471365917683,0.9816015718689186,0.9408887317781625,0.7212255817331024,0.7171455256965402,0.6901861326831236,0.39617112015510725,0.32531721490409615,0.258656109449396,0.1700353058750328,0.12007912268575294,0.08991942879807291,0.06222607118972778,0.0
