CatBoostRegressor_opt,CatBoostRegressor,GradientBoostingRegressor,MLPRegressor,ExtraTreesRegressor,XGBRegressor,RandomForestRegressor,AdaBoostRegressor,SVR,Ridge,ElasticNetCV,LinearRegression,KNeighborsRegressor,DummyRegressor
0.0,0.005583504556695415,0.007927931850252298,0.010732967836153753,0.0115971527455523,0.030423676795942475,0.03818371972235679,0.06614352407968925,0.07150659939666788,0.09305815833584312,0.09675296054925593,0.1010442390469513,0.11241635546651062,0.9777052920080167
-0.005583504556695415,0.0,0.0023444272935568833,0.005149463279458338,0.006013648188856885,0.02484017223924706,0.032600215165661375,0.060560019522993835,0.06592309483997247,0.0874746537791477,0.09116945599256052,0.09546073449025588,0.1068328509098152,0.9721217874513213
-0.007927931850252298,-0.0023444272935568833,0.0,0.002805035985901455,0.0036692208953000016,0.022495744945690177,0.030255787872104492,0.05821559222943695,0.06357866754641558,0.08513022648559082,0.08882502869900363,0.093116307196699,0.10448842361625832,0.9697773601577644
-0.010732967836153753,-0.005149463279458338,-0.002805035985901455,0.0,0.0008641849093985465,0.019690708959788722,0.027450751886203037,0.0554105562435355,0.06077363156051413,0.08232519049968937,0.08601999271310218,0.09031127121079754,0.10168338763035686,0.9669723241718629
-0.0115971527455523,-0.006013648188856885,-0.0036692208953000016,-0.0008641849093985465,0.0,0.018826524050390175,0.02658656697680449,0.05454637133413695,0.05990944665111558,0.08146100559029082,0.08515580780370363,0.089447086301399,0.10081920272095832,0.9661081392624644
-0.030423676795942475,-0.02484017223924706,-0.022495744945690177,-0.019690708959788722,-0.018826524050390175,0.0,0.007760042926414315,0.035719847283746775,0.04108292260072541,0.06263448153990064,0.06632928375331346,0.07062056225100882,0.08199267867056814,0.9472816152120742
-0.03818371972235679,-0.032600215165661375,-0.030255787872104492,-0.027450751886203037,-0.02658656697680449,-0.007760042926414315,0.0,0.02795980435733246,0.03332287967431109,0.05487443861348633,0.05856924082689914,0.06286051932459451,0.07423263574415383,0.9395215722856599
-0.06614352407968925,-0.060560019522993835,-0.05821559222943695,-0.0554105562435355,-0.05454637133413695,-0.035719847283746775,-0.02795980435733246,0.0,0.005363075316978633,0.02691463425615387,0.03060943646956668,0.03490071496726205,0.04627283138682137,0.9115617679283274
-0.07150659939666788,-0.06592309483997247,-0.06357866754641558,-0.06077363156051413,-0.05990944665111558,-0.04108292260072541,-0.03332287967431109,-0.005363075316978633,0.0,0.021551558939175236,0.025246361152588048,0.029537639650283415,0.040909756069842734,0.9061986926113488
-0.09305815833584312,-0.0874746537791477,-0.08513022648559082,-0.08232519049968937,-0.08146100559029082,-0.06263448153990064,-0.05487443861348633,-0.02691463425615387,-0.021551558939175236,0.0,0.0036948022134128122,0.007986080711108179,0.019358197130667498,0.8846471336721735
-0.09675296054925593,-0.09116945599256052,-0.08882502869900363,-0.08601999271310218,-0.08515580780370363,-0.06632928375331346,-0.05856924082689914,-0.03060943646956668,-0.025246361152588048,-0.0036948022134128122,0.0,0.004291278497695367,0.015663394917254686,0.8809523314587607
-0.1010442390469513,-0.09546073449025588,-0.093116307196699,-0.09031127121079754,-0.089447086301399,-0.07062056225100882,-0.06286051932459451,-0.03490071496726205,-0.029537639650283415,-0.007986080711108179,-0.004291278497695367,0.0,0.01137211641955932,0.8766610529610653
-0.11241635546651062,-0.1068328509098152,-0.10448842361625832,-0.10168338763035686,-0.10081920272095832,-0.08199267867056814,-0.07423263574415383,-0.04627283138682137,-0.040909756069842734,-0.019358197130667498,-0.015663394917254686,-0.01137211641955932,0.0,0.8652889365415061
-0.9777052920080167,-0.9721217874513213,-0.9697773601577644,-0.9669723241718629,-0.9661081392624644,-0.9472816152120742,-0.9395215722856599,-0.9115617679283274,-0.9061986926113488,-0.8846471336721735,-0.8809523314587607,-0.8766610529610653,-0.8652889365415061,0.0
