AdaBoostRegressor,CatBoostRegressor,CatBoostRegressor_opt,DummyRegressor,ElasticNetCV,ExtraTreesRegressor,GradientBoostingRegressor,KNeighborsRegressor,LinearRegression,MLPRegressor,RandomForestRegressor,Ridge,SVR,XGBRegressor
1.0,1.6054545986639055e-74,9.085787194995922e-62,1.2939941385764528e-11,1.0,8.434848087634263e-70,2.446355829627655e-59,0.0013313109012191122,0.1791502787428199,5.306004357196773e-33,2.0082145319212606e-35,1.0,1.9406662884589663e-17,1.6420115953921986e-39
1.6054545986639055e-74,1.0,0.009172660490200973,2.0671998404209363e-100,9.663710796777177e-74,1.0,0.0009081530290975346,9.652699856430222e-60,5.491291894497662e-83,1.7700850866354761e-22,2.842743261514642e-20,5.5455325189679085e-71,1.0833635343732507e-38,9.39768776972461e-17
9.085787194995922e-62,0.009172660490200973,1.0,5.9187589153346e-89,5.795041031415936e-61,0.2812839337870155,1.0,1.5425475695829463e-46,1.36685295189236e-70,1.2939941385764528e-11,7.298659624741777e-10,4.055841557312695e-58,7.128358138402708e-26,3.1159630553806476e-07
1.2939941385764528e-11,2.0671998404209363e-100,5.9187589153346e-89,1.0,3.227573041661965e-12,3.41986004131555e-96,9.770485850210928e-87,2.3395026579657856e-24,8.243741317059243e-06,9.085787194995922e-62,3.3485610452319804e-64,2.010956427119337e-14,7.019781335854769e-45,3.2573044676384223e-68
1.0,9.663710796777177e-74,5.795041031415936e-61,3.227573041661965e-12,1.0,5.229605660486123e-69,1.597076484337443e-58,0.0029341417810692006,0.10855614623822298,3.361187128338173e-32,1.2963203915394928e-34,1.0,9.39768776972461e-17,1.0833635343732507e-38
8.434848087634263e-70,1.0,0.2812839337870155,3.41986004131555e-96,5.229605660486123e-69,1.0,0.06269345177512578,7.845703599300966e-55,2.0989100230540654e-78,3.927999872624749e-18,4.3364798284687557e-16,3.236905262291613e-66,8.319587390753146e-34,7.838979174690015e-13
2.446355829627655e-59,0.0009081530290975346,1.0,9.770485850210928e-87,1.597076484337443e-58,0.06269345177512578,1.0,4.619518632332153e-44,3.2573044676384223e-68,7.298659624741777e-10,3.0446413099240884e-08,1.187101221861208e-55,1.3281065276621543e-23,8.243741317059243e-06
0.0013313109012191122,9.652699856430222e-60,1.5425475695829463e-46,2.3395026579657856e-24,0.0029341417810692006,7.845703599300966e-55,4.619518632332153e-44,1.0,1.6989335184684203e-08,7.798719408746097e-19,5.354376399498498e-21,0.034557557368454075,1.6661410412661154e-06,9.875317469700196e-25
0.1791502787428199,5.491291894497662e-83,1.36685295189236e-70,8.243741317059243e-06,0.10855614623822298,2.0989100230540654e-78,3.2573044676384223e-68,1.6989335184684203e-08,1.0,5.4396126049600893e-42,1.8011829961459512e-44,0.012544678044257617,1.705587087474242e-25,1.2997690038906013e-48
5.306004357196773e-33,1.7700850866354761e-22,1.2939941385764528e-11,9.085787194995922e-62,3.361187128338173e-32,3.927999872624749e-18,7.298659624741777e-10,7.798719408746097e-19,5.4396126049600893e-42,1.0,1.0,2.0860080212079825e-29,0.00024233364819041005,0.6756932076018628
2.0082145319212606e-35,2.842743261514642e-20,7.298659624741777e-10,3.3485610452319804e-64,1.2963203915394928e-34,4.3364798284687557e-16,3.0446413099240884e-08,5.354376399498498e-21,1.8011829961459512e-44,1.0,1.0,8.354987943522382e-32,1.2739606284015635e-05,1.0
1.0,5.5455325189679085e-71,4.055841557312695e-58,2.010956427119337e-14,1.0,3.236905262291613e-66,1.187101221861208e-55,0.034557557368454075,0.012544678044257617,2.0860080212079825e-29,8.354987943522382e-32,1.0,2.010956427119337e-14,7.958060953486467e-36
1.9406662884589663e-17,1.0833635343732507e-38,7.128358138402708e-26,7.019781335854769e-45,9.39768776972461e-17,8.319587390753146e-34,1.3281065276621543e-23,1.6661410412661154e-06,1.705587087474242e-25,0.00024233364819041005,1.2739606284015635e-05,2.010956427119337e-14,1.0,5.405990750712895e-08
1.6420115953921986e-39,9.39768776972461e-17,3.1159630553806476e-07,3.2573044676384223e-68,1.0833635343732507e-38,7.838979174690015e-13,8.243741317059243e-06,9.875317469700196e-25,1.2997690038906013e-48,0.6756932076018628,1.0,7.958060953486467e-36,5.405990750712895e-08,1.0
