rdkdes,mordred,RDK7,RDK6,avalon,RDK5,pubchem,FCFP4,MACCS,FCFP6,ECFP6,FCFP2,ECFP4,ECFP2
0.0,5.3683465115250684e-05,0.00812025695591001,0.02105827184760406,0.029324013225691614,0.04134321458688944,0.056845831201380315,0.06297329998580925,0.09861875862079478,0.10896720436695295,0.12170348664907843,0.1236912982492468,0.1896212532369585,0.223648934554102
-5.3683465115250684e-05,0.0,0.00806657349079476,0.02100458838248881,0.029270329760576363,0.04128953112177419,0.056792147736265064,0.062919616520694,0.09856507515567953,0.1089135209018377,0.12164980318396318,0.12363761478413154,0.18956756977184325,0.22359525108898676
-0.00812025695591001,-0.00806657349079476,0.0,0.01293801489169405,0.021203756269781604,0.03322295763097943,0.048725574245470304,0.05485304302989924,0.09049850166488477,0.10084694741104294,0.11358322969316842,0.11557104129333678,0.1815009962810485,0.215528677598192
-0.02105827184760406,-0.02100458838248881,-0.01293801489169405,0.0,0.008265741378087554,0.020284942739285383,0.035787559353776255,0.04191502813820519,0.07756048677319072,0.08790893251934889,0.10064521480147437,0.10263302640164274,0.16856298138935444,0.20259066270649795
-0.029324013225691614,-0.029270329760576363,-0.021203756269781604,-0.008265741378087554,0.0,0.012019201361197829,0.0275218179756887,0.033649286760117636,0.06929474539510316,0.07964319114126134,0.09237947342338682,0.09436728502355518,0.16029724001126688,0.1943249213284104
-0.04134321458688944,-0.04128953112177419,-0.03322295763097943,-0.020284942739285383,-0.012019201361197829,0.0,0.015502616614490872,0.021630085398919807,0.057275544033905335,0.06762398978006351,0.08036027206218899,0.08234808366235735,0.14827803865006906,0.18230571996721257
-0.056845831201380315,-0.056792147736265064,-0.048725574245470304,-0.035787559353776255,-0.0275218179756887,-0.015502616614490872,0.0,0.0061274687844289355,0.04177292741941446,0.05212137316557264,0.06485765544769811,0.06684546704786648,0.13277542203557818,0.1668031033527217
-0.06297329998580925,-0.062919616520694,-0.05485304302989924,-0.04191502813820519,-0.033649286760117636,-0.021630085398919807,-0.0061274687844289355,0.0,0.03564545863498553,0.0459939043811437,0.05873018666326918,0.060717998263437545,0.12664795325114925,0.16067563456829276
-0.09861875862079478,-0.09856507515567953,-0.09049850166488477,-0.07756048677319072,-0.06929474539510316,-0.057275544033905335,-0.04177292741941446,-0.03564545863498553,0.0,0.010348445746158175,0.023084728028283652,0.025072539628452017,0.09100249461616372,0.12503017593330723
-0.10896720436695295,-0.1089135209018377,-0.10084694741104294,-0.08790893251934889,-0.07964319114126134,-0.06762398978006351,-0.05212137316557264,-0.0459939043811437,-0.010348445746158175,0.0,0.012736282282125477,0.014724093882293843,0.08065404887000555,0.11468173018714906
-0.12170348664907843,-0.12164980318396318,-0.11358322969316842,-0.10064521480147437,-0.09237947342338682,-0.08036027206218899,-0.06485765544769811,-0.05873018666326918,-0.023084728028283652,-0.012736282282125477,0.0,0.0019878116001683654,0.06791776658788007,0.10194544790502358
-0.1236912982492468,-0.12363761478413154,-0.11557104129333678,-0.10263302640164274,-0.09436728502355518,-0.08234808366235735,-0.06684546704786648,-0.060717998263437545,-0.025072539628452017,-0.014724093882293843,-0.0019878116001683654,0.0,0.0659299549877117,0.09995763630485521
-0.1896212532369585,-0.18956756977184325,-0.1815009962810485,-0.16856298138935444,-0.16029724001126688,-0.14827803865006906,-0.13277542203557818,-0.12664795325114925,-0.09100249461616372,-0.08065404887000555,-0.06791776658788007,-0.0659299549877117,0.0,0.03402768131714351
-0.223648934554102,-0.22359525108898676,-0.215528677598192,-0.20259066270649795,-0.1943249213284104,-0.18230571996721257,-0.1668031033527217,-0.16067563456829276,-0.12503017593330723,-0.11468173018714906,-0.10194544790502358,-0.09995763630485521,-0.03402768131714351,0.0
