mordred,rdkdes,RDK7,RDK6,avalon,FCFP4,RDK5,FCFP6,pubchem,ECFP6,FCFP2,MACCS,ECFP4,ECFP2
0.0,0.00874997398810809,0.015261813409929548,0.027950504645234298,0.034318742804390845,0.04518128456590875,0.04697972434559286,0.05897255199196938,0.06385506880238556,0.06882422337221894,0.10387215814448164,0.1140911236396675,0.11578174181342704,0.15389937456421166
-0.00874997398810809,0.0,0.006511839421821458,0.019200530657126208,0.025568768816282755,0.03643131057780066,0.03822975035748477,0.05022257800386129,0.05510509481427747,0.06007424938411085,0.09512218415637355,0.10534114965155941,0.10703176782531895,0.14514940057610357
-0.015261813409929548,-0.006511839421821458,0.0,0.01268869123530475,0.019056929394461297,0.029919471155979205,0.03171791093566331,0.04371073858203983,0.048593255392456014,0.05356240996228939,0.0886103447345521,0.09882931022973795,0.1005199284034975,0.1386375611542821
-0.027950504645234298,-0.019200530657126208,-0.01268869123530475,0.0,0.006368238159156547,0.017230779920674455,0.019029219700358563,0.031022047346735082,0.035904564157151264,0.04087371872698464,0.07592165349924734,0.0861406189944332,0.08783123716819274,0.12594886991897736
-0.034318742804390845,-0.025568768816282755,-0.019056929394461297,-0.006368238159156547,0.0,0.010862541761517908,0.012660981541202015,0.024653809187578535,0.029536325997994717,0.034505480567828095,0.0695534153400908,0.07977238083527666,0.0814629990090362,0.11958063175982081
-0.04518128456590875,-0.03643131057780066,-0.029919471155979205,-0.017230779920674455,-0.010862541761517908,0.0,0.0017984397796841078,0.013791267426060627,0.01867378423647681,0.023642938806310188,0.05869087357857289,0.06890983907375875,0.07060045724751829,0.1087180899983029
-0.04697972434559286,-0.03822975035748477,-0.03171791093566331,-0.019029219700358563,-0.012660981541202015,-0.0017984397796841078,0.0,0.01199282764637652,0.0168753444567927,0.02184449902662608,0.05689243379888878,0.06711139929407464,0.06880201746783418,0.1069196502186188
-0.05897255199196938,-0.05022257800386129,-0.04371073858203983,-0.031022047346735082,-0.024653809187578535,-0.013791267426060627,-0.01199282764637652,0.0,0.004882516810416182,0.00985167138024956,0.04489960615251226,0.05511857164769812,0.05680918982145766,0.09492682257224228
-0.06385506880238556,-0.05510509481427747,-0.048593255392456014,-0.035904564157151264,-0.029536325997994717,-0.01867378423647681,-0.0168753444567927,-0.004882516810416182,0.0,0.004969154569833378,0.04001708934209608,0.05023605483728194,0.05192667301104148,0.0900443057618261
-0.06882422337221894,-0.06007424938411085,-0.05356240996228939,-0.04087371872698464,-0.034505480567828095,-0.023642938806310188,-0.02184449902662608,-0.00985167138024956,-0.004969154569833378,0.0,0.0350479347722627,0.04526690026744856,0.0469575184412081,0.08507515119199272
-0.10387215814448164,-0.09512218415637355,-0.0886103447345521,-0.07592165349924734,-0.0695534153400908,-0.05869087357857289,-0.05689243379888878,-0.04489960615251226,-0.04001708934209608,-0.0350479347722627,0.0,0.010218965495185861,0.0119095836689454,0.050027216419730014
-0.1140911236396675,-0.10534114965155941,-0.09882931022973795,-0.0861406189944332,-0.07977238083527666,-0.06890983907375875,-0.06711139929407464,-0.05511857164769812,-0.05023605483728194,-0.04526690026744856,-0.010218965495185861,0.0,0.0016906181737595394,0.03980825092454415
-0.11578174181342704,-0.10703176782531895,-0.1005199284034975,-0.08783123716819274,-0.0814629990090362,-0.07060045724751829,-0.06880201746783418,-0.05680918982145766,-0.05192667301104148,-0.0469575184412081,-0.0119095836689454,-0.0016906181737595394,0.0,0.038117632750784614
-0.15389937456421166,-0.14514940057610357,-0.1386375611542821,-0.12594886991897736,-0.11958063175982081,-0.1087180899983029,-0.1069196502186188,-0.09492682257224228,-0.0900443057618261,-0.08507515119199272,-0.050027216419730014,-0.03980825092454415,-0.038117632750784614,0.0
