ECFP2,ECFP4,ECFP6,FCFP2,FCFP4,FCFP6,MACCS,RDK5,RDK6,RDK7,avalon,mordred,pubchem,rdkdes
1.0,1.0,1.0,0.08758374273519029,0.00469513400411164,0.0426255337040955,6.372626059844421e-07,0.32194801440753845,2.4611262643152783e-05,2.551386191974786e-06,0.00019732191429931072,2.5996114606344278e-18,2.8851413194711846e-09,7.182998885035239e-18
1.0,1.0,1.0,0.03718537423253278,0.0016553370537954382,0.017148352597812402,1.4308807471442866e-07,0.16384848732752474,6.450429054713974e-06,6.372626059844421e-07,5.768817062216294e-05,3.3325288094043046e-19,5.547138774952685e-10,9.340522663349176e-19
1.0,1.0,1.0,0.16384848732752474,0.010721416362111916,0.08758374273519029,2.0374659299678994e-06,0.5335259387725694,6.944344831488172e-05,8.01528707043159e-06,0.0005212940247627367,1.4032199325953502e-17,1.0960575162475049e-08,3.8290511793520766e-17
0.08758374273519029,0.03718537423253278,0.16384848732752474,1.0,1.0,1.0,0.19444809380147018,1.0,1.0,0.3801532804322492,1.0,4.927924132146764e-09,0.010721416362111916,1.0960575162475049e-08
0.00469513400411164,0.0016553370537954382,0.010721416362111916,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.372626059844421e-07,0.16384848732752474,1.2752485901972051e-06
0.0426255337040955,0.017148352597812402,0.08758374273519029,1.0,1.0,1.0,0.355728640788611,1.0,1.0,0.6553460240919388,1.0,1.8241572347950015e-08,0.023397696225028294,3.9765461715298556e-08
6.372626059844421e-07,1.4308807471442866e-07,2.0374659299678994e-06,0.19444809380147018,1.0,0.355728640788611,1.0,0.04875529822207106,1.0,1.0,1.0,0.00469513400411164,1.0,0.007717626782478101
0.32194801440753845,0.16384848732752474,0.5335259387725694,1.0,1.0,1.0,0.04875529822207106,1.0,0.355728640788611,0.112157704976007,0.999593559805238,2.3917704906669934e-10,0.0016553370537954382,5.547138774952685e-10
2.4611262643152783e-05,6.450429054713974e-06,6.944344831488172e-05,1.0,1.0,1.0,1.0,0.355728640788611,1.0,1.0,1.0,0.00023887797223284962,1.0,0.00043358119698610836
2.551386191974786e-06,6.372626059844421e-07,8.01528707043159e-06,0.3801532804322492,1.0,0.6553460240919388,1.0,0.112157704976007,1.0,1.0,1.0,0.0016553370537954382,1.0,0.002760105383901111
0.00019732191429931072,5.768817062216294e-05,0.0005212940247627367,1.0,1.0,1.0,1.0,0.999593559805238,1.0,1.0,1.0,3.0295157742964572e-05,0.999593559805238,5.768817062216294e-05
2.5996114606344278e-18,3.3325288094043046e-19,1.4032199325953502e-17,4.927924132146764e-09,6.372626059844421e-07,1.8241572347950015e-08,0.00469513400411164,2.3917704906669934e-10,0.00023887797223284962,0.0016553370537954382,3.0295157742964572e-05,1.0,0.112157704976007,1.0
2.8851413194711846e-09,5.547138774952685e-10,1.0960575162475049e-08,0.010721416362111916,0.16384848732752474,0.023397696225028294,1.0,0.0016553370537954382,1.0,1.0,0.999593559805238,0.112157704976007,1.0,0.16384848732752474
7.182998885035239e-18,9.340522663349176e-19,3.8290511793520766e-17,1.0960575162475049e-08,1.2752485901972051e-06,3.9765461715298556e-08,0.007717626782478101,5.547138774952685e-10,0.00043358119698610836,0.002760105383901111,5.768817062216294e-05,1.0,0.16384848732752474,1.0
