rdkdes,mordred,RDK7,RDK6,avalon,RDK5,pubchem,FCFP4,MACCS,FCFP6,FCFP2,ECFP6,ECFP4,ECFP2
0.0,0.0013773895359152633,0.003564529880726322,0.014433400634500576,0.02292991270829331,0.027595156654095704,0.04314410511596381,0.0464801338116253,0.07724300450838331,0.09742011366105291,0.09853259598193079,0.09880922204942055,0.1684570344102144,0.20464830974420875
-0.0013773895359152633,0.0,0.002187140344811059,0.013056011098585313,0.021552523172378046,0.02621776711818044,0.04176671558004855,0.04510274427571004,0.07586561497246805,0.09604272412513765,0.09715520644601552,0.09743183251350529,0.16707964487429913,0.2032709202082935
-0.003564529880726322,-0.002187140344811059,0.0,0.010868870753774254,0.019365382827566988,0.024030626773369382,0.03957957523523749,0.04291560393089898,0.07367847462765699,0.09385558378032659,0.09496806610120447,0.09524469216869423,0.16489250452948806,0.20108377986348241
-0.014433400634500576,-0.013056011098585313,-0.010868870753774254,0.0,0.008496512073792734,0.013161756019595128,0.028710704481463234,0.032046733177124725,0.06280960387388274,0.08298671302655233,0.08409919534743021,0.08437582141491998,0.15402363377571382,0.19021490910970817
-0.02292991270829331,-0.021552523172378046,-0.019365382827566988,-0.008496512073792734,0.0,0.004665243945802394,0.0202141924076705,0.023550221103331992,0.05431309180009,0.0744902009527596,0.07560268327363748,0.07587930934112724,0.14552712170192109,0.18171839703591544
-0.027595156654095704,-0.02621776711818044,-0.024030626773369382,-0.013161756019595128,-0.004665243945802394,0.0,0.015548948461868106,0.018884977157529598,0.04964784785428761,0.0698249570069572,0.07093743932783508,0.07121406539532485,0.1408618777561187,0.17705315309011305
-0.04314410511596381,-0.04176671558004855,-0.03957957523523749,-0.028710704481463234,-0.0202141924076705,-0.015548948461868106,0.0,0.0033360286956614915,0.0340988993924195,0.0542760085450891,0.05538849086596698,0.05566511693345674,0.12531292929425059,0.16150420462824494
-0.0464801338116253,-0.04510274427571004,-0.04291560393089898,-0.032046733177124725,-0.023550221103331992,-0.018884977157529598,-0.0033360286956614915,0.0,0.03076287069675801,0.05093997984942761,0.052052462170305486,0.05232908823779525,0.1219769005985891,0.15816817593258345
-0.07724300450838331,-0.07586561497246805,-0.07367847462765699,-0.06280960387388274,-0.05431309180009,-0.04964784785428761,-0.0340988993924195,-0.03076287069675801,0.0,0.020177109152669598,0.021289591473547476,0.02156621754103724,0.09121402990183108,0.12740530523582544
-0.09742011366105291,-0.09604272412513765,-0.09385558378032659,-0.08298671302655233,-0.0744902009527596,-0.0698249570069572,-0.0542760085450891,-0.05093997984942761,-0.020177109152669598,0.0,0.0011124823208778778,0.0013891083883676436,0.07103692074916149,0.10722819608315584
-0.09853259598193079,-0.09715520644601552,-0.09496806610120447,-0.08409919534743021,-0.07560268327363748,-0.07093743932783508,-0.05538849086596698,-0.052052462170305486,-0.021289591473547476,-0.0011124823208778778,0.0,0.0002766260674897658,0.06992443842828361,0.10611571376227796
-0.09880922204942055,-0.09743183251350529,-0.09524469216869423,-0.08437582141491998,-0.07587930934112724,-0.07121406539532485,-0.05566511693345674,-0.05232908823779525,-0.02156621754103724,-0.0013891083883676436,-0.0002766260674897658,0.0,0.06964781236079384,0.1058390876947882
-0.1684570344102144,-0.16707964487429913,-0.16489250452948806,-0.15402363377571382,-0.14552712170192109,-0.1408618777561187,-0.12531292929425059,-0.1219769005985891,-0.09121402990183108,-0.07103692074916149,-0.06992443842828361,-0.06964781236079384,0.0,0.036191275333994355
-0.20464830974420875,-0.2032709202082935,-0.20108377986348241,-0.19021490910970817,-0.18171839703591544,-0.17705315309011305,-0.16150420462824494,-0.15816817593258345,-0.12740530523582544,-0.10722819608315584,-0.10611571376227796,-0.1058390876947882,-0.036191275333994355,0.0
