mordred,rdkdes,pubchem,MACCS,RDK7,RDK6,avalon,FCFP4,FCFP2,RDK5,FCFP6,ECFP6,ECFP2,ECFP4
1.0,0.9,0.5119061039685056,0.08049998978867179,0.028497605683643457,0.008583660851507968,0.001722381638431747,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.9,1.0,0.5169176808722492,0.08230854717465041,0.029251419961862424,0.00883539449969406,0.0017792888184920974,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.5119061039685056,0.5169176808722492,1.0,0.9,0.9,0.9,0.7641174160092573,0.448515523798123,0.23525610428864363,0.20638296991862815,0.04657107624483414,0.001,0.001,0.001
0.08049998978867179,0.08230854717465041,0.9,1.0,0.9,0.9,0.9,0.9,0.783443456122525,0.746383951236171,0.3863131218584851,0.001,0.001,0.001
0.028497605683643457,0.029251419961862424,0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.9,0.6095496116323924,0.001,0.001,0.001
0.008583660851507968,0.00883539449969406,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.827245264301822,0.002507790712033442,0.001,0.001
0.001722381638431747,0.0017792888184920974,0.7641174160092573,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.011985676244480992,0.001,0.001
0.001,0.001,0.448515523798123,0.9,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.06081981488792321,0.0011329357599755285,0.001
0.001,0.001,0.23525610428864363,0.783443456122525,0.9,0.9,0.9,0.9,1.0,0.9,0.9,0.15139965575066128,0.0044112762311550036,0.001
0.001,0.001,0.20638296991862815,0.746383951236171,0.9,0.9,0.9,0.9,0.9,1.0,0.9,0.17496874451111843,0.005528338509880437,0.001
0.001,0.001,0.04657107624483414,0.3863131218584851,0.6095496116323924,0.827245264301822,0.9,0.9,0.9,0.9,1.0,0.5069054187272257,0.03844771128324509,0.001
0.001,0.001,0.001,0.001,0.001,0.002507790712033442,0.011985676244480992,0.06081981488792321,0.15139965575066128,0.17496874451111843,0.5069054187272257,1.0,0.9,0.5270796349794266
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0011329357599755285,0.0044112762311550036,0.005528338509880437,0.03844771128324509,0.9,1.0,0.9
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.5270796349794266,0.9,1.0
