scoring,cv_cycle,AdaBoostClassifier,CatBoostClassifier,ExtraTreesClassifier,GradientBoostingClassifier,KNeighborsClassifier,LogisticRegression,MLPClassifier,RandomForestClassifier,SVC,XGBClassifier
accuracy,16,0.6666666666666666,0.75,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.5,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.4166666666666667
accuracy,17,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.75,0.75,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334
accuracy,18,0.75,0.8333333333333334,0.6666666666666666,0.6666666666666666,1.0,0.5833333333333334,0.75,0.6666666666666666,0.9166666666666666,0.5833333333333334
accuracy,19,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.75,0.8333333333333334,0.75,0.8333333333333334,0.9166666666666666,0.8333333333333334,0.8333333333333334
accuracy,20,0.9166666666666666,0.9166666666666666,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334
accuracy,21,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,0.5833333333333334,0.6666666666666666,0.75,0.6666666666666666,0.6666666666666666
accuracy,22,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.5833333333333334,0.8333333333333334,0.5833333333333334,0.75,0.6666666666666666,1.0,0.5833333333333334
accuracy,23,0.8333333333333334,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.8333333333333334,0.75
accuracy,24,0.5833333333333334,0.6666666666666666,0.75,0.5833333333333334,0.8333333333333334,0.9166666666666666,0.9166666666666666,0.5833333333333334,0.9166666666666666,0.8333333333333334
accuracy,25,0.9166666666666666,0.8333333333333334,0.8333333333333334,0.75,0.6666666666666666,0.5,0.5833333333333334,0.75,0.8333333333333334,0.75
accuracy,mean,0.7800000000000001,0.7966666666666667,0.8066666666666668,0.7333333333333334,0.7666666666666667,0.6733333333333335,0.73,0.7733333333333333,0.8266666666666667,0.72
accuracy,median,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.75,0.75,0.6666666666666666,0.75,0.75,0.8333333333333334,0.75
accuracy,std,0.11756794725698931,0.08192137151629672,0.10984838035522722,0.13333333333333333,0.1,0.13523641850067197,0.08589399151150084,0.09580071908799943,0.11035296904831232,0.13515423288475528
average_precision,1,0.764520202020202,0.8773809523809524,0.7402777777777777,0.6251322751322752,0.8617424242424242,0.6398508898508899,0.8592592592592592,0.794047619047619,0.9166666666666665,0.7041666666666665
average_precision,2,0.8284090909090909,0.8968253968253967,0.9333333333333333,0.7579365079365078,0.9055555555555556,0.8773809523809524,0.8819444444444444,0.9444444444444444,0.9305555555555556,0.6763888888888888
average_precision,3,0.9305555555555556,0.9305555555555556,0.976190476190476,0.8857142857142857,0.9444444444444443,0.7662698412698411,0.9107142857142856,0.9305555555555556,1.0,0.848611111111111
average_precision,4,0.9583333333333333,0.9305555555555556,0.8972222222222221,0.9150793650793649,0.919047619047619,0.7884920634920635,0.8555555555555555,0.8968253968253967,0.9583333333333333,0.7884920634920635
average_precision,5,0.9055555555555554,0.9484126984126984,1.0,0.976190476190476,0.8499999999999999,0.9583333333333333,0.9583333333333333,0.915079365079365,1.0,1.0
average_precision,6,0.8972222222222221,0.9583333333333333,0.8432900432900432,0.9305555555555556,0.848611111111111,0.7884920634920635,0.9583333333333333,0.9166666666666665,0.9055555555555554,0.9305555555555556
average_precision,7,1.0,0.9305555555555556,1.0,0.976190476190476,0.8168350168350168,0.85515873015873,0.85515873015873,0.9206349206349207,0.976190476190476,0.7801587301587302
average_precision,8,0.9242424242424242,0.9583333333333333,0.976190476190476,0.9305555555555555,1.0,0.8833333333333333,0.9166666666666665,0.9583333333333333,1.0,0.8218253968253967
average_precision,9,0.9150793650793649,0.9166666666666665,0.9583333333333333,0.6279461279461279,0.8492063492063492,0.7994047619047618,0.8968253968253967,0.8972222222222221,0.9444444444444444,0.9166666666666666
average_precision,10,0.9166666666666666,0.9444444444444444,0.9583333333333333,0.9444444444444444,0.8722222222222222,0.8634920634920633,0.9444444444444444,0.9166666666666666,0.9583333333333333,0.9055555555555554
average_precision,11,0.9305555555555556,0.9305555555555556,0.9583333333333333,0.6472222222222221,0.8857142857142857,0.9107142857142856,0.9305555555555556,0.9444444444444444,0.9583333333333333,0.9150793650793649
average_precision,12,0.5494047619047618,0.6271825396825397,0.810515873015873,0.6079365079365079,0.8888888888888888,0.9166666666666665,0.8972222222222221,0.6882936507936507,0.8819444444444444,0.5021825396825397
average_precision,13,1.0,0.976190476190476,0.9484126984126984,1.0,0.727946127946128,0.7092592592592593,0.848611111111111,0.976190476190476,1.0,0.8968253968253967
average_precision,14,0.5868686868686869,0.810515873015873,0.9055555555555554,0.5009620009620009,0.8083333333333333,0.5992063492063492,0.6952380952380952,0.8284090909090909,0.9444444444444444,0.46464646464646464
average_precision,15,1.0,1.0,0.976190476190476,1.0,0.9305555555555556,0.9166666666666666,0.9166666666666666,0.976190476190476,0.976190476190476,1.0
average_precision,16,0.794047619047619,0.7791666666666666,0.8218253968253967,0.7027777777777777,0.7250000000000001,0.6835016835016835,0.737073112073112,0.6930555555555554,0.7958333333333333,0.6398508898508899
average_precision,17,0.9166666666666665,0.9107142857142856,0.8708333333333333,0.8773809523809524,0.9444444444444444,0.8964646464646464,0.848611111111111,0.9333333333333332,0.9166666666666665,0.9242424242424242
average_precision,18,0.8305555555555555,0.9305555555555556,0.8833333333333333,0.7162698412698413,1.0,0.8766233766233766,0.976190476190476,0.8210678210678211,1.0,0.8432900432900432
average_precision,19,0.8501683501683501,0.9444444444444444,0.9305555555555556,0.9166666666666666,0.9166666666666666,0.8690476190476191,0.8964646464646464,0.9583333333333333,0.9305555555555556,0.9166666666666666
average_precision,20,0.7345238095238095,0.976190476190476,0.976190476190476,0.9150793650793649,0.8297979797979798,0.8134920634920634,0.9107142857142856,0.9583333333333333,0.9583333333333333,0.8734126984126983
average_precision,21,0.8432900432900432,0.8432900432900432,0.9444444444444444,0.6111111111111112,0.8061868686868687,0.7777777777777778,0.7853535353535354,0.8968253968253967,0.8592592592592592,0.7238455988455988
average_precision,22,0.9055555555555554,0.9166666666666665,0.8263888888888888,0.7291666666666666,0.9166666666666667,0.7597222222222221,0.8968253968253967,0.8374999999999999,1.0,0.8061868686868686
average_precision,23,0.8592592592592592,0.976190476190476,0.9484126984126984,0.9150793650793649,1.0,0.8631313131313131,1.0,0.9305555555555556,1.0,0.8617424242424241
average_precision,24,0.8134920634920635,0.9333333333333333,0.9055555555555554,0.8555555555555555,0.888888888888889,0.8734126984126983,1.0,0.8888888888888888,0.9583333333333333,0.7027777777777778
average_precision,25,1.0,0.9583333333333333,0.9583333333333334,0.8107142857142857,0.8152777777777778,0.7370370370370369,0.8107142857142856,0.9583333333333334,0.9583333333333333,0.8134920634920634
average_precision,mean,0.8661988936988937,0.9122157287157286,0.9179220779220778,0.8150266955266956,0.8780812890812889,0.8169172679172679,0.887499037999038,0.8952092352092351,0.9491322751322752,0.8102664742664742
average_precision,median,0.9055555555555554,0.9305555555555556,0.9444444444444444,0.8773809523809524,0.8857142857142857,0.85515873015873,0.8968253968253967,0.9166666666666666,0.9583333333333333,0.8432900432900432
average_precision,std,0.11329059972564792,0.0767885320663513,0.06541286774574293,0.145606966359969,0.07230037565277506,0.08992365493195968,0.07301507131786211,0.07669932788523404,0.04936312752397805,0.13446342009081447
f1,1,0.4444444444444444,0.6666666666666666,0.6,0.4,0.5,0.5,0.6666666666666666,0.6,0.7272727272727273,0.6666666666666666
f1,2,0.6153846153846154,0.6666666666666666,0.9090909090909091,0.7692307692307693,0.8,0.6,0.7272727272727273,0.7692307692307693,0.7272727272727273,0.6153846153846154
f1,3,0.8333333333333334,0.7272727272727273,0.9090909090909091,0.7272727272727273,0.9090909090909091,0.6666666666666666,0.6666666666666666,0.7272727272727273,0.8,0.6666666666666666
f1,4,0.7692307692307693,0.8333333333333334,0.8333333333333334,0.7272727272727273,0.6666666666666666,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.6666666666666666
f1,5,0.8,0.9230769230769231,1.0,0.9230769230769231,0.5,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,0.9230769230769231
f1,6,0.8333333333333334,0.8333333333333334,0.7272727272727273,0.8333333333333334,0.6666666666666666,0.8571428571428571,0.7692307692307693,0.8333333333333334,0.7692307692307693,0.7692307692307693
f1,7,1.0,0.8571428571428571,1.0,0.9230769230769231,0.6,0.5454545454545454,0.6,0.8571428571428571,0.8333333333333334,0.8571428571428571
f1,8,0.8333333333333334,0.8571428571428571,0.9230769230769231,0.7692307692307693,1.0,0.8333333333333334,0.7272727272727273,0.8333333333333334,1.0,0.6666666666666666
