scoring,cv_cycle,ECFP2,ECFP4,ECFP6,FCFP2,FCFP4,FCFP6,MACCS,RDK5,RDK6,RDK7,avalon,mordred,pubchem,rdkdes
max_error,11,-3.8227775480499266,-1.992303841371017,-2.6790835705402176,-2.143508925957416,-1.2872896941956555,-2.47982208087164,-1.332545362921163,-1.8910860809077652,-1.6870481012710017,-1.1466590040813796,-1.2668206072491157,-1.7062167379668067,-3.4159407902598415,-1.0267054729537666
max_error,12,-1.2332979722429322,-4.970533265176094,-4.7217007793666586,-1.46640426798576,-1.217646836733653,-1.648757644088417,-1.598995089561417,-1.7174409240808846,-1.86048655031077,-1.4214701510662933,-2.027293810237237,-1.7472589478799407,-1.5510427721044717,-1.4361392298945619
max_error,13,-4.992289797870858,-1.822367752561282,-2.19500396920734,-1.300063583525189,-1.6534587098186146,-3.9785433116656517,-1.6551221706076307,-1.6209592195287466,-1.0293813660863533,-1.1764458170744214,-0.8501693514167465,-2.2455134569458104,-1.7292434596413906,-1.6249906153060212
max_error,14,-2.2166484154757313,-4.023046886662821,-2.1481357421709193,-0.9901866624960924,-1.655182301810455,-1.7395399706012107,-1.1498561024527456,-1.3589098243376942,-2.2130472829528447,-1.720250392032087,-3.226182991023622,-1.1857765476234308,-1.3074380034136788,-1.3114780688592904
max_error,15,-2.0843876708799822,-2.407963782555112,-1.7113925299647246,-2.7492298570647598,-3.401961383547876,-1.6908119758538378,-1.8251970514938831,-1.6952669468556345,-0.9974449088288496,-1.9108347822181522,-0.9056465591130196,-2.1605680465679287,-1.3938659270773992,-2.250507185908628
max_error,16,-4.15493855109217,-4.119254196212054,-2.2293878738367225,-2.923198889806827,-1.2580285314507877,-2.0461079888566207,-1.2844204481246966,-1.0367012599536163,-2.185309112588125,-1.9376015162455738,-1.1105151567793392,-1.1931370960425802,-1.168582737522667,-0.9818399393034704
max_error,17,-3.0551304347105326,-1.458127676217374,-2.8091939896832763,-1.2140613405768754,-1.1133610504734235,-1.726725488645993,-1.840941278451869,-2.2403636739529094,-1.8188227251777835,-1.0571099998159008,-1.2851647584859567,-1.6650444830285975,-1.6236134694535946,-2.3499916300897095
max_error,18,-2.295002524720876,-4.971465254522452,-1.4974424547141192,-1.6675170414755573,-1.3618822201274532,-1.1376473173272164,-3.764771747512341,-1.6162199453316586,-1.399466532823889,-1.2540501857869173,-3.213048443491218,-2.3384956498732237,-3.8397222290383732,-1.1327701954035536
max_error,19,-4.864932369982399,-2.45934389077335,-4.679982335323142,-1.428310328337762,-1.936175355803937,-5.003435523486473,-0.8228580074021786,-1.6594681523534545,-1.7199039768557731,-1.0146893126369876,-1.219276146082315,-1.2242438660401156,-1.3190987073285851,-1.3041695384501701
max_error,20,-1.861185325578831,-1.709853235980928,-1.7862984644069495,-2.2803967344714717,-3.644302021705653,-1.246767664382812,-1.1642157906479762,-1.903018209244412,-1.0067665362261053,-1.562933129341037,-2.319420181148956,-1.0646526112701518,-1.6617288819040166,-1.380531977173217
max_error,21,-2.2476899180707477,-1.9096591751914889,-4.777849019392309,-4.06973305066414,-1.5406717432810773,-2.090382746535864,-1.617251598896919,-1.6313220740934218,-0.9057063798245546,-1.1749177880298103,-1.2251541812156281,-2.006178592800898,-0.9597712985485309,-1.5121635515524172
max_error,22,-1.9759162484995056,-4.924623036491047,-1.3871642734519547,-1.6334998947799826,-1.333559714116738,-2.445514035840218,-1.1546879051142398,-1.905147913271696,-1.200861770531935,-1.1326583566819877,-0.7969939406642714,-1.0756804293963689,-1.3230152300003726,-1.1555280747913794
