scoring,cv_cycle,AdaBoostRegressor,CatBoostRegressor,CatBoostRegressor_opt,DummyRegressor,ElasticNetCV,ExtraTreesRegressor,GradientBoostingRegressor,KNeighborsRegressor,LinearRegression,MLPRegressor,RandomForestRegressor,Ridge,SVR,XGBRegressor
max_error,19,-1.2109486746532099,-1.1006151455397872,-1.0847726747130715,-3.879738912302506,-1.2298973673767029,-1.2114994535829309,-1.6040008807795179,-1.4461006788151773,-1.2900415243564707,-0.8753436646046804,-1.227547009676977,-1.2487408895867134,-1.1186100466427895,-1.1144943891266759
max_error,20,-1.0006964679391004,-1.0352349366271374,-0.9748653619561637,-3.4105382110464593,-1.5391150064336596,-1.085823941352086,-1.1046059978506673,-1.4481813992163504,-1.494486343732286,-1.1821752815383375,-1.0801279692538757,-1.5727402347806885,-1.27389704009762,-0.9127086853327582
max_error,21,-1.5537379457220073,-1.230839679134669,-1.6390058510327978,-5.658516864409791,-2.44575185028788,-1.111364784276481,-1.3942509782625883,-2.7980487594772807,-2.5426382280598543,-1.2563351640011866,-2.082384977493856,-2.620573658372734,-3.313534608444663,-1.5542987157462425
max_error,22,-1.4694851387783596,-1.3589817484257147,-0.9637080170956728,-3.725396150082604,-1.0138271248883801,-1.1601316686789747,-1.0871629162107759,-1.286405388025156,-0.9140456607339715,-0.9083915390317446,-1.1897819343956888,-1.0239642067246826,-1.3761564867457006,-1.158083739391451
max_error,23,-1.432922782941083,-1.1910985162896743,-1.0926971627784556,-4.358842917312232,-1.5561667092350207,-1.215790939410351,-1.1125139903001606,-2.0058144667306927,-1.5531110201354994,-1.2947881964604784,-1.139038365612084,-1.5674743708070915,-2.2684014162603976,-1.605985653943287
max_error,24,-1.3701620715630125,-1.122881551841515,-0.8700643434612433,-5.156129416784545,-2.3647099072879745,-1.1316778171929407,-1.1183368603715502,-2.2242901088538494,-2.1728678528986745,-1.2396171336102988,-1.4792361512038594,-2.4683449514585303,-3.0145002240181036,-1.2156139699462478
max_error,25,-0.9693231056401643,-0.9588683117324561,-1.0067545752803715,-3.001642727426831,-1.2776392143321582,-1.3123103570197578,-0.900468029298624,-1.1823693679665104,-1.1513985711266497,-0.8212557253461126,-1.3940826687858547,-1.2686871323404565,-1.1464916448200246,-1.380756300710967
max_error,mean,-1.4049240630439732,-1.2663470762803302,-1.1462679535945772,-4.1257393195122605,-1.8674935353276796,-1.3163032594696096,-1.2361873823926501,-2.127869525463496,-1.8634134792911174,-1.208494024784305,-1.5424390737496845,-1.8364540862777008,-2.0871566853727397,-1.4715851684986734
max_error,median,-1.352116055486156,-1.1957552819799868,-1.0847726747130715,-3.896923567215203,-1.5561667092350207,-1.2114994535829309,-1.1183368603715502,-2.020379509538903,-1.5838659678932903,-1.2190452183732758,-1.4792361512038594,-1.5727402347806885,-1.9572459319112605,-1.3738875564868738
max_error,std,0.315671852921822,0.35537678608995943,0.27748100458503333,1.0837217083983517,0.7027793844403182,0.3799350747784417,0.2875845804964433,0.8850856427843177,0.6381839494593967,0.2946587842952186,0.43738876394324583,0.6821576417201248,0.9224342011211606,0.4217021015590199
neg_mean_absolute_error,1,-0.28711362659875184,-0.20079742389344082,-0.19092408736544406,-0.8058312595454722,-0.33541506306591795,-0.19699423946839498,-0.21991237194509358,-0.34031539152749046,-0.3322127047668141,-0.21624489008260417,-0.22082617768069876,-0.33828366131225507,-0.28566313856782566,-0.23092413282765803
neg_mean_absolute_error,2,-0.2924308650704471,-0.17585976880786933,-0.18253526305883158,-0.8155234510854814,-0.31747332367978015,-0.17485379124308814,-0.1841675804912875,-0.2751797963603383,-0.34521897376177807,-0.2150128462034083,-0.2017167962832745,-0.3001441097122271,-0.23111811117426737,-0.18426920862307175
neg_mean_absolute_error,3,-0.2891134263710355,-0.15540275587152172,-0.16794724286386709,-0.610370963047623,-0.30991897211740077,-0.17527491095906467,-0.16155278783740326,-0.2303900280724812,-0.31649502575823474,-0.19484032325778552,-0.18279219190408477,-0.30272026596135937,-0.18578238721719997,-0.1768728179516982
neg_mean_absolute_error,4,-0.2621300554727756,-0.12271752159470346,-0.1399499488549148,-0.7444539495890583,-0.22345231391116788,-0.12109657035669792,-0.1345124022845149,-0.17625963450544585,-0.22439662159405863,-0.13628773415842133,-0.1324215696358645,-0.22173073924406422,-0.14265278395801037,-0.13140942310177173
neg_mean_absolute_error,5,-0.27415317933179234,-0.15796275296663498,-0.1669315082852402,-0.8507722107911807,-0.2334981718246403,-0.13922369420264805,-0.1497062017929013,-0.25812340432883946,-0.23963849037924131,-0.1920234645721927,-0.15989127092429847,-0.23517998989492,-0.20780512639254517,-0.15890485140184274
