scoring,cv_cycle,AdaBoostRegressor,Anova,ExtraTreesRegressor,GradientBoostingRegressor,LassoCV,MutualInformation,NoFS,RandomForestRegressor,XGBRegressor
neg_mean_absolute_percentage_error,10,-1.0816960702521574,-1.2215479136783554,-0.9591122514577374,-0.8080978813547406,-1.0046155014624913,-1.095407102691546,-1.2308500257093846,-1.0043543028083555,-1.100884018060056
neg_mean_absolute_percentage_error,11,-0.593309174285612,-0.6026144595399224,-0.6100283430903742,-0.5975871840138771,-0.7114445854178568,-0.6359396740844333,-0.6210092989367499,-0.5983618097725825,-0.582612151671467
neg_mean_absolute_percentage_error,12,-0.5358939871308981,-0.5612131618941315,-0.5981827727583326,-0.5240323554922384,-0.5696261067460103,-0.6018967070449498,-0.6029603679449735,-0.5173921886895484,-0.49457013504041114
neg_mean_absolute_percentage_error,13,-1.0888274981694965,-1.410073466507092,-1.318044552404597,-0.9010576094180772,-2.006782426379874,-1.148792190438643,-1.7068499946183395,-1.07641575074772,-1.3538386572182761
neg_mean_absolute_percentage_error,14,-0.4573768252381209,-0.49353253028505994,-0.47354381415592317,-0.44959021193312976,-0.6213657765741168,-0.4807659825081492,-0.5085156771374689,-0.443621559760567,-0.49110077807967306
neg_mean_absolute_percentage_error,15,-0.7673357645097862,-0.6247006672484363,-0.7088045903999534,-0.7195792943573474,-0.8239983811818669,-0.6520816553529933,-0.7243378000644323,-0.840765750121666,-0.7473945129758184
neg_mean_absolute_percentage_error,16,-0.5193396510836852,-0.5244423066403904,-0.5033302796626086,-0.5337180140414517,-0.690403915492605,-0.521665426157563,-0.6022989760611406,-0.5233019283274714,-0.5385174107399957
neg_mean_absolute_percentage_error,17,-0.4737913473134946,-0.5629517978603649,-0.4617721396790344,-0.4054930908759479,-0.5931663156420472,-0.5060616536046683,-0.479007149730814,-0.419802424391065,-0.42368743053824054
neg_mean_absolute_percentage_error,18,-1.0699828525213082,-1.0448226367470435,-1.14035018645872,-0.9399090567530475,-1.1103888214737034,-1.2608639580130627,-1.2888715458540432,-0.9984053308974381,-1.1883841726513495
neg_mean_absolute_percentage_error,19,-0.5947189344729328,-0.5701075331187974,-0.6389547071292092,-0.6211230752542225,-0.6382607772450805,-0.6616082975299851,-0.7025051528898705,-0.6701511886317816,-0.6807119831379589
neg_mean_absolute_percentage_error,20,-1.027222199819712,-1.0459433501545636,-1.3858562334720057,-0.8845876296195325,-0.9122180696465418,-1.4855700816725987,-0.6634651654522172,-1.319148077991202,-1.236107456447428
neg_mean_absolute_percentage_error,21,-1.0485398455869903,-1.2261274353798606,-1.1842243261000651,-1.0810993080090643,-0.8077801296695138,-1.1359710909570093,-1.1279780752864712,-1.1815429383695761,-1.1525818745595924
neg_mean_absolute_percentage_error,22,-0.6089276417338396,-0.5281580779021977,-0.6568395582470286,-0.6472888422231444,-0.9204381920977536,-0.7015016278476418,-0.7635949069420196,-0.6338115326839685,-0.5993980551251235
neg_mean_absolute_percentage_error,23,-1.4269730878029225,-0.4735248903168751,-0.6945276494084279,-0.5876868727038873,-2.528543139227426,-1.9133094095969518,-2.905697683874102,-0.787248872231991,-2.475813049859006
neg_mean_absolute_percentage_error,24,-0.3879907459903541,-0.45551732862367317,-0.3826798340967124,-0.4224872073783661,-0.613535188890938,-0.41781229625976773,-0.4835686284547887,-0.38661477533536565,-0.3781842445451234
neg_mean_absolute_percentage_error,25,-0.4993984329314403,-0.5085319151249205,-0.5341769057125385,-0.4700131867176284,-0.5435598856691776,-0.45875184705982486,-0.5053842913842816,-0.5599703514830282,-0.4689444797863084
neg_mean_absolute_percentage_error,mean,-0.7391341531045298,-0.7246622151059516,-0.7837913006723954,-0.7028902679312552,-0.9107439771666753,-0.8615528073952199,-0.8998710110371881,-0.7365708299980396,-0.7823704153186282
neg_mean_absolute_percentage_error,median,-0.6136883813712034,-0.5701075331187974,-0.6568395582470286,-0.6022119431192691,-0.7114445854178568,-0.6520816553529933,-0.7150681688779293,-0.6701511886317816,-0.582612151671467
neg_mean_absolute_percentage_error,std,0.26592973393265873,0.2967879418809881,0.31765800878353867,0.27408319511471774,0.47020166617977965,0.42721731929971746,0.5244565526580618,0.2545839758473668,0.45380866120297025
neg_mean_squared_error,1,-0.18773734068877215,-0.19426791886117467,-0.20053841340901485,-0.18283297708670498,-0.26046882406565985,-0.17464179345817063,-0.2657080428910505,-0.17830758003206662,-0.21703644311140927
neg_mean_squared_error,2,-0.13156753714408942,-0.16388660129701046,-0.15548423982856854,-0.1266526418652306,-0.176081923134683,-0.17693154959563848,-0.1608998253918187,-0.14002380581587187,-0.13032971484282377
neg_mean_squared_error,3,-0.0911720392815782,-0.08449294894352397,-0.08724270418286102,-0.08464682695606286,-0.14975231912167078,-0.10170388328442216,-0.10447598181426862,-0.09489028912243336,-0.08664578168862115
neg_mean_squared_error,4,-0.03980809032490981,-0.05447221549371409,-0.04642856037527448,-0.04464770963021202,-0.04431921256812761,-0.06552810385045524,-0.04012125316144476,-0.03778488680816983,-0.03955650354271969
neg_mean_squared_error,5,-0.08863398968488514,-0.06637686105062333,-0.08764151464602385,-0.09039680620356022,-0.11434459841240462,-0.0838960837108586,-0.1027760778517953,-0.09244046508168163,-0.08867302538549464
neg_mean_squared_error,6,-0.11703627970465262,-0.114389275771163,-0.12161350808128961,-0.12335402329559045,-0.11905023372857855,-0.15552784759552252,-0.14653685582883397,-0.11902380688692359,-0.11164309419642925
neg_mean_squared_error,7,-0.11948544655393349,-0.13028670681505441,-0.1311542849575733,-0.11139910255372353,-0.15615929362805983,-0.1371920534782385,-0.1809379333326138,-0.126409308437986,-0.1372243711238608
neg_mean_squared_error,8,-0.10067932947494511,-0.11114209288954138,-0.11509393748998073,-0.10097387335566187,-0.12380135424541013,-0.13269284960132507,-0.11951136269728417,-0.11961207809224522,-0.1042895774450357
neg_mean_squared_error,9,-0.07089614315982992,-0.05614908363113583,-0.07004685900362018,-0.06883282019984605,-0.11578871431809436,-0.08414353080385448,-0.08303860429068685,-0.06638250054262876,-0.058878855383891864
neg_mean_squared_error,10,-0.05879958678200435,-0.05686747963406673,-0.06113660654095263,-0.063579135915732,-0.10208782270775228,-0.06612953092689852,-0.06790238796847516,-0.06412810619851778,-0.0574042708104955
neg_mean_squared_error,11,-0.08637423429036227,-0.0818970887754927,-0.09079809785275614,-0.08997792025871428,-0.12319431116124872,-0.08927183692697027,-0.09735689205498974,-0.08947906613881376,-0.0819423279017354
neg_mean_squared_error,12,-0.10060014551436582,-0.10967922343560109,-0.09610642370160082,-0.0854184602348377,-0.11808587145451437,-0.07639148427587886,-0.10374681105919217,-0.0958934829734297,-0.08218786080402903
neg_mean_squared_error,13,-0.20952229332873198,-0.22075288300533374,-0.21448427994532995,-0.1922193899520636,-0.28590304442260595,-0.20435983572490712,-0.24331101824833506,-0.20120543782340505,-0.20227755855139487
neg_mean_squared_error,14,-0.07339187410154181,-0.0772881178748529,-0.0736056001094581,-0.07315708524592292,-0.08678165209625287,-0.07555155448860554,-0.0784037567112711,-0.07488746801151815,-0.07898508835140197
neg_mean_squared_error,15,-0.3100780634009841,-0.2701893661312629,-0.2879655860454014,-0.2472164604698934,-0.3597305251411262,-0.27640432399603415,-0.33698137916188703,-0.2673108804436077,-0.27611579709270495
neg_mean_squared_error,16,-0.08113227385642874,-0.07911819410939099,-0.0753231403765236,-0.08218612472155881,-0.09027723218242113,-0.07309943356678157,-0.08426695826457088,-0.07538780922648039,-0.07929904655000164
neg_mean_squared_error,17,-0.07553770365813016,-0.08048690545247739,-0.07830821638147792,-0.07703239955344147,-0.1043187063953646,-0.10226660306282899,-0.08860066803810773,-0.07813373196089722,-0.07609395266390719
neg_mean_squared_error,18,-0.2483220429962072,-0.2550515839137866,-0.2306405662178631,-0.23372597900727118,-0.25185865495788345,-0.24703603283731448,-0.26078490781014224,-0.22949164648607998,-0.24885647706266156
neg_mean_squared_error,19,-0.10067166127099748,-0.10967204344179715,-0.108417853859589,-0.09589631970518617,-0.09806638876363409,-0.1242364937651262,-0.1088272661000331,-0.10078237939156554,-0.10270894406451309
neg_mean_squared_error,20,-0.05783029498968671,-0.0647351296414647,-0.05941496335097942,-0.05921689435211241,-0.1278875788781415,-0.0638577361386609,-0.06512501341641742,-0.06273700122463513,-0.06028834142671492
neg_mean_squared_error,21,-0.1318351067026164,-0.11544672214788268,-0.1420872452460572,-0.15323753656578007,-0.10321520365393952,-0.22076185988728844,-0.1594611261223212,-0.15443364295851505,-0.13486370895126626
neg_mean_squared_error,22,-0.10389850790838598,-0.11978514282342283,-0.1156790141941458,-0.11880177479482508,-0.2096844422079233,-0.0937539194136807,-0.1440735169560267,-0.11268749414588465,-0.11090887541693968
neg_mean_squared_error,23,-0.07051775138108053,-0.05761070328334389,-0.07436952689617723,-0.0686625124124545,-0.07955741300967814,-0.0885233503772133,-0.08678930861200405,-0.0668318854444512,-0.07173399041284229
neg_mean_squared_error,24,-0.10249897353236119,-0.09029248319059992,-0.1021535932969298,-0.10388221750954132,-0.15914576330485664,-0.09978624363477807,-0.1270062507851012,-0.09431667733901974,-0.09632154127548444
neg_mean_squared_error,25,-0.07879140177033502,-0.08919364976370005,-0.08253246760363855,-0.07551536079476066,-0.10566258014028022,-0.08364656372856472,-0.09338736141637723,-0.07497940987508757,-0.06858504816747515
neg_mean_squared_error,mean,-0.11347272446007263,-0.1141412168550967,-0.11633068814372349,-0.11013849410562752,-0.14660894654801246,-0.12389337992520069,-0.13400122239940193,-0.11270243361847662,-0.11211400784895416
neg_mean_squared_error,median,-0.10060014551436582,-0.09029248319059992,-0.09610642370160082,-0.09039680620356022,-0.11905023372857855,-0.09978624363477807,-0.10447598181426862,-0.09489028912243336,-0.08867302538549464
neg_mean_squared_error,std,0.06174463159524061,0.05991992807629339,0.058603815466052464,0.052065561763789424,0.0722085224963737,0.0593785961115247,0.07139442984933307,0.054637832119119996,0.06013074670990859
neg_median_absolute_error,1,-0.10083691244184134,-0.08567366251829481,-0.07865123116433649,-0.0798996634050401,-0.11537594624503811,-0.10289162383800066,-0.09425663417313312,-0.08367096913216665,-0.0877543829194683
neg_median_absolute_error,2,-0.08302074400679949,-0.08965304028553811,-0.08172029375606638,-0.06473641348149237,-0.0968055166645701,-0.09771583184008348,-0.06978216045433627,-0.07974360937495228,-0.06949606139917575
neg_median_absolute_error,3,-0.09105752655632954,-0.13415444786562394,-0.09436067019319172,-0.09157770665662301,-0.15249079640096008,-0.09662345362946678,-0.1147517301246862,-0.08739025684926238,-0.09415259815307442
neg_median_absolute_error,4,-0.07732477190858857,-0.08468532032773757,-0.07324135812128652,-0.07716871787850077,-0.07784495200888175,-0.08268262694160886,-0.0856476535132802,-0.08161625773600834,-0.08663599570383723
neg_median_absolute_error,5,-0.0813301586808465,-0.07391759225166789,-0.06723327796289942,-0.06370905778341326,-0.1083405103885722,-0.0815122217159493,-0.08818353150220959,-0.06646601231496689,-0.06931399836407198
neg_median_absolute_error,6,-0.09347636402269338,-0.09082344551119781,-0.08148621271093431,-0.1039840020486158,-0.13345220473022798,-0.08289069898172596,-0.10016067831146103,-0.1004207683616074,-0.080523879525392
neg_median_absolute_error,7,-0.09584318347902754,-0.10627279448990512,-0.1092118120565636,-0.08385303216726792,-0.12078581928808851,-0.08073195156550894,-0.10889970399638793,-0.09737771477489243,-0.07602432165785511
neg_median_absolute_error,8,-0.08895079715014205,-0.07631042071301719,-0.08785841893952584,-0.0851534824180015,-0.08629787863864669,-0.0912395895914323,-0.10200731766750182,-0.08811850898967288,-0.08814451799468781
neg_median_absolute_error,9,-0.09303421093744402,-0.10127906552709148,-0.09620730954923284,-0.08387904117228284,-0.10679297459019982,-0.07084852965993882,-0.10390597503357268,-0.09662345362946767,-0.09136963461650582
neg_median_absolute_error,10,-0.0836579646296583,-0.09386649909791306,-0.06675211137012883,-0.06965211542926342,-0.07363149319650661,-0.08361895112213677,-0.07584225862275282,-0.0701722955295569,-0.06858574622366244
neg_median_absolute_error,11,-0.07337140314636004,-0.08848263505987819,-0.07870324917436555,-0.06824762915847149,-0.0935804000427527,-0.061121161784454425,-0.07924943827967346,-0.07963957335489302,-0.06978216045433627
neg_median_absolute_error,12,-0.07035435856465888,-0.07898934822952741,-0.07836513210917473,-0.07183687185049514,-0.10198130866248764,-0.07149875478530454,-0.07040637657468873,-0.06346197223577403,-0.06468439547146301
neg_median_absolute_error,13,-0.11810689177157802,-0.11092840638753165,-0.12211227854383566,-0.12793829566711978,-0.12010958515770709,-0.09214990476694596,-0.137197501452339,-0.12146205341846894,-0.11352930688899754
neg_median_absolute_error,14,-0.11207280260817633,-0.10531046130436561,-0.10328175891322039,-0.0984440839804932,-0.14502621196175186,-0.09646739959937967,-0.1267938994464749,-0.09571313845395407,-0.1063248124999362
neg_median_absolute_error,15,-0.07403463277423408,-0.07049740809223985,-0.0785732041492922,-0.06979516495684421,-0.088196536004717,-0.07974360937495192,-0.0822014603488376,-0.07806602855150649,-0.08101805062067044
neg_median_absolute_error,16,-0.07576423160770905,-0.07620638469295682,-0.06999023249445369,-0.0739696102616973,-0.091031517551315,-0.07529606951744505,-0.07446378135697573,-0.07396961026169746,-0.07641445673307556
neg_median_absolute_error,17,-0.07625840270298759,-0.09958848020113864,-0.08798846396459925,-0.0740996552867712,-0.1343105018957118,-0.1017992456273844,-0.09386649909791334,-0.08296872599676974,-0.09555708442386629
neg_median_absolute_error,18,-0.12151407142849824,-0.11051226230729658,-0.11199477559313253,-0.11217683862823521,-0.13105937626887876,-0.10484229921410017,-0.11701451356096182,-0.10908176703149053,-0.11347728887896785
neg_median_absolute_error,19,-0.0717068268254224,-0.10263153378785428,-0.07711669986847047,-0.08793644595457042,-0.115375946245039,-0.07498396145726913,-0.083072762016829,-0.08239652788644802,-0.0924620128271216
neg_median_absolute_error,20,-0.06724628246540736,-0.07720773138602258,-0.07112162421259155,-0.0683126516710083,-0.0798086318874888,-0.07527006051242996,-0.07885930320445372,-0.06920996234401397,-0.07138171426273801
neg_median_absolute_error,21,-0.10655889354506826,-0.11087638837750169,-0.11267100972351451,-0.1133472438538945,-0.11852303585181334,-0.11337325285890942,-0.11303513579371893,-0.10967997414682729,-0.09865215602061106
neg_median_absolute_error,22,-0.12276250366920197,-0.11430957703943717,-0.11082437036747245,-0.1277562326320174,-0.19264870014359756,-0.13155354736415847,-0.13459660095087297,-0.12541542218069757,-0.1238808908848325
neg_median_absolute_error,23,-0.0691059263239554,-0.06902789930891129,-0.06536062960184441,-0.05576330675143426,-0.08647994167374956,-0.06447632343134635,-0.06601085472721058,-0.05209603704436694,-0.055633261726360406
