mordred,rdkdes,RDK7,RDK6,FCFP4,RDK5,FCFP6,avalon,ECFP6,ECFP4,pubchem,FCFP2,ECFP2,MACCS
0.0,0.009543224119979488,0.016199162584276477,0.030928582304179483,0.03915496528842091,0.039529951633259314,0.04143027351425918,0.0458558385984143,0.055669998207420024,0.07830574332352044,0.08045521706036624,0.08834523130390814,0.12290514699842583,0.12765999690338428
-0.009543224119979488,0.0,0.00665593846429699,0.021385358184199996,0.029611741168441424,0.029986727513279826,0.03188704939427969,0.03631261447843481,0.046126774087440536,0.06876251920354096,0.07091199294038675,0.07880200718392866,0.11336192287844635,0.1181167727834048
-0.016199162584276477,-0.00665593846429699,0.0,0.014729419719903006,0.022955802704144435,0.023330789048982836,0.025231110929982703,0.029656676014137823,0.039470835623143546,0.062106580739243966,0.06425605447608976,0.07214606871963167,0.10670598441414936,0.1114608343191078
-0.030928582304179483,-0.021385358184199996,-0.014729419719903006,0.0,0.008226382984241429,0.00860136932907983,0.010501691210079697,0.014927256294234817,0.02474141590324054,0.04737716101934096,0.04952663475618675,0.05741664899972866,0.09197656469424635,0.0967314145992048
-0.03915496528842091,-0.029611741168441424,-0.022955802704144435,-0.008226382984241429,0.0,0.00037498634483840165,0.0022753082258382684,0.006700873309993388,0.016515032918999112,0.03915077803509953,0.04130025177194532,0.04919026601548723,0.08375018171000492,0.08850503161496337
-0.039529951633259314,-0.029986727513279826,-0.023330789048982836,-0.00860136932907983,-0.00037498634483840165,0.0,0.0019003218809998668,0.0063258869651549865,0.01614004657416071,0.03877579169026113,0.04092526542710692,0.04881527967064883,0.08337519536516652,0.08813004527012497
-0.04143027351425918,-0.03188704939427969,-0.025231110929982703,-0.010501691210079697,-0.0022753082258382684,-0.0019003218809998668,0.0,0.00442556508415512,0.014239724693160843,0.03687546980926126,0.039024943546107055,0.046914957789648964,0.08147487348416665,0.0862297233891251
-0.0458558385984143,-0.03631261447843481,-0.029656676014137823,-0.014927256294234817,-0.006700873309993388,-0.0063258869651549865,-0.00442556508415512,0.0,0.009814159609005724,0.03244990472510614,0.034599378461951935,0.042489392705493845,0.07704930840001153,0.08180415830496998
-0.055669998207420024,-0.046126774087440536,-0.039470835623143546,-0.02474141590324054,-0.016515032918999112,-0.01614004657416071,-0.014239724693160843,-0.009814159609005724,0.0,0.02263574511610042,0.02478521885294621,0.03267523309648812,0.06723514879100581,0.07198999869596426
-0.07830574332352044,-0.06876251920354096,-0.062106580739243966,-0.04737716101934096,-0.03915077803509953,-0.03877579169026113,-0.03687546980926126,-0.03244990472510614,-0.02263574511610042,0.0,0.0021494737368457917,0.010039487980387701,0.04459940367490539,0.04935425357986384
-0.08045521706036624,-0.07091199294038675,-0.06425605447608976,-0.04952663475618675,-0.04130025177194532,-0.04092526542710692,-0.039024943546107055,-0.034599378461951935,-0.02478521885294621,-0.0021494737368457917,0.0,0.00789001424354191,0.0424499299380596,0.047204779843018047
-0.08834523130390814,-0.07880200718392866,-0.07214606871963167,-0.05741664899972866,-0.04919026601548723,-0.04881527967064883,-0.046914957789648964,-0.042489392705493845,-0.03267523309648812,-0.010039487980387701,-0.00789001424354191,0.0,0.03455991569451769,0.03931476559947614
-0.12290514699842583,-0.11336192287844635,-0.10670598441414936,-0.09197656469424635,-0.08375018171000492,-0.08337519536516652,-0.08147487348416665,-0.07704930840001153,-0.06723514879100581,-0.04459940367490539,-0.0424499299380596,-0.03455991569451769,0.0,0.004754849904958447
-0.12765999690338428,-0.1181167727834048,-0.1114608343191078,-0.0967314145992048,-0.08850503161496337,-0.08813004527012497,-0.0862297233891251,-0.08180415830496998,-0.07198999869596426,-0.04935425357986384,-0.047204779843018047,-0.03931476559947614,-0.004754849904958447,0.0
