ECFP2,ECFP4,ECFP6,FCFP2,FCFP4,FCFP6,MACCS,RDK5,RDK6,RDK7,avalon,mordred,pubchem,rdkdes
1.0,0.0007928426815717299,1.0762933457228302e-13,0.02279621383073943,2.4114305551261477e-24,2.1124048561374342e-23,1.0,8.197071191115661e-25,1.9449024799211194e-31,6.965847534934331e-41,7.754875307559905e-21,5.876148712442188e-50,0.0007928426815717299,4.557541358205761e-46
0.0007928426815717299,1.0,0.0012972761363351287,1.0,8.176885236068472e-11,4.2389789122311766e-10,0.0006563365617822193,3.562730190672728e-11,1.3327528576767358e-16,4.898157793960243e-25,3.2089572975616255e-08,1.0752041913082509e-33,1.0,6.150502886433644e-30
1.0762933457228302e-13,0.0012972761363351287,1.0,2.4729891454055393e-05,0.027424759270449413,0.06342069193305404,6.955978455356867e-14,0.01965665514147874,1.3100751685408997e-05,9.671653957742923e-12,0.4229889578884823,5.024557153925026e-19,0.0012972761363351287,9.3307658867295e-16
0.02279621383073943,1.0,2.4729891454055393e-05,1.0,1.6887372026844437e-13,1.052139372733343e-12,0.01965665514147874,6.955978455356867e-14,1.0684909773382353e-19,1.8647434921384542e-28,1.20900801908104e-10,2.8419444240189997e-37,1.0,1.884888956170122e-33
2.4114305551261477e-24,8.176885236068472e-11,0.027424759270449413,1.6887372026844437e-13,1.0,1.0,1.4069226945473883e-24,1.0,0.7124271442843977,0.0003768389644177766,1.0,2.0950783747544312e-09,8.176885236068472e-11,6.085717990154565e-07
2.1124048561374342e-23,4.2389789122311766e-10,0.06342069193305404,1.052139372733343e-12,1.0,1.0,1.2391556720395518e-23,1.0,0.4229889578884823,0.00011529711223953092,1.0,4.2389789122311766e-10,4.2389789122311766e-10,1.416213039403854e-07
1.0,0.0006563365617822193,6.955978455356867e-14,0.01965665514147874,1.4069226945473883e-24,1.2391556720395518e-23,1.0,4.898157793960243e-25,1.1021988273002577e-31,3.8803059543487305e-41,4.6219901592353895e-21,3.26723254216035e-50,0.0006563365617822193,2.532706583446629e-46
8.197071191115661e-25,3.562730190672728e-11,0.01965665514147874,6.955978455356867e-14,1.0,1.0,4.898157793960243e-25,1.0,0.8968130155814181,0.0006563365617822193,1.0,4.520771509197759e-09,3.562730190672728e-11,1.2217914308254458e-06
1.9449024799211194e-31,1.3327528576767358e-16,1.3100751685408997e-05,1.0684909773382353e-19,0.7124271442843977,0.4229889578884823,1.1021988273002577e-31,0.8968130155814181,1.0,0.2323541546953469,0.06342069193305404,6.33232803938607e-05,1.3327528576767358e-16,0.0035497735391108245
6.965847534934331e-41,4.898157793960243e-25,9.671653957742923e-12,1.8647434921384542e-28,0.0003768389644177766,0.00011529711223953092,3.8803059543487305e-41,0.0006563365617822193,0.2323541546953469,1.0,3.4330639875116864e-06,0.3164923034082306,4.898157793960243e-25,1.0
7.754875307559905e-21,3.2089572975616255e-08,0.4229889578884823,1.20900801908104e-10,1.0,1.0,4.6219901592353895e-21,1.0,0.06342069193305404,3.4330639875116864e-06,1.0,4.026946413158055e-12,3.2089572975616255e-08,2.0950783747544312e-09
5.876148712442188e-50,1.0752041913082509e-33,5.024557153925026e-19,2.8419444240189997e-37,2.0950783747544312e-09,4.2389789122311766e-10,3.26723254216035e-50,4.520771509197759e-09,6.33232803938607e-05,0.3164923034082306,4.026946413158055e-12,1.0,1.0752041913082509e-33,1.0
0.0007928426815717299,1.0,0.0012972761363351287,1.0,8.176885236068472e-11,4.2389789122311766e-10,0.0006563365617822193,3.562730190672728e-11,1.3327528576767358e-16,4.898157793960243e-25,3.2089572975616255e-08,1.0752041913082509e-33,1.0,6.150502886433644e-30
4.557541358205761e-46,6.150502886433644e-30,9.3307658867295e-16,1.884888956170122e-33,6.085717990154565e-07,1.416213039403854e-07,2.532706583446629e-46,1.2217914308254458e-06,0.0035497735391108245,1.0,2.0950783747544312e-09,1.0,6.150502886433644e-30,1.0
